,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
615,Katobu,ID,80.44,overcast clouds,-4.9408,122.5276,La Ode Husein
618,Salaga,GH,83.66,light rain,8.5508,-0.5188,Bore Nada Guest House
621,Da Nang,VN,77.0,scattered clouds,16.0678,108.2208,Sun River Hotel
623,Kudahuvadhoo,MV,82.22,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
626,El Cobre,CU,75.2,scattered clouds,20.0489,-75.9469,Hotel El Cobre
628,Inhambane,MZ,75.16,few clouds,-23.865,35.3833,Oceano
630,Bandarbeyla,SO,75.97,few clouds,9.4942,50.8122,JABIR HOTEL
633,Celestun,MX,76.37,scattered clouds,20.8667,-90.4,Posada Lilia
634,Montego Bay,JM,77.0,few clouds,18.4712,-77.9188,Sunscape Splash Montego Bay
635,Manokwari,ID,83.14,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
636,Sabang,ID,82.81,few clouds,5.8933,95.3214,Hotel Citra
644,Gizo,SB,83.23,light rain,-8.103,156.8419,Imagination Island
648,Loa Janan,ID,83.34,overcast clouds,-0.583,117.095,Pondok hijau 2A
652,Yulara,AU,84.2,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
654,Maragogi,BR,78.42,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
658,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
660,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Uncle Junior Robert
662,Miri,MY,78.8,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
663,Bonoua,CI,80.6,few clouds,5.2741,-3.595,Hotel Bon Samaritian
668,Puerto Escondido,MX,78.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
673,Kapit,MY,77.11,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
676,Ciudad Bolivar,VE,83.46,overcast clouds,8.1222,-63.5497,Hotel Edi
677,Winneba,GH,82.4,few clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
682,Bowen,AU,84.2,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
693,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
