,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Gari,RU,59.4307,62.3497,-8.39,91,100,9.73,overcast clouds
325,Maarianhamina,AX,60.0973,19.9348,26.6,80,90,10.36,light snow
326,Hualmay,PE,-11.0964,-77.6139,73.02,71,83,8.93,broken clouds
327,Leningradskiy,RU,69.3833,178.4167,-11.81,79,0,4.65,clear sky
328,Kalaleh,IR,37.3807,55.4916,37.4,87,0,6.44,clear sky
329,Bukama,CD,-9.2,25.85,67.42,94,91,2.89,overcast clouds
330,Tari,NG,12.4086,4.4914,84.04,15,11,6.71,few clouds
331,Malangwa,NP,26.8568,85.5581,64.71,32,0,7.38,clear sky
332,Melfi,IT,40.9965,15.6514,37.0,86,20,5.75,few clouds
333,Ancud,CL,-41.8697,-73.8203,48.99,87,0,6.91,clear sky
334,Marica,BR,-22.9194,-42.8186,80.01,78,75,5.75,broken clouds
335,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,75,12.66,broken clouds
336,Menongue,AO,-14.6585,17.691,61.74,88,39,3.29,scattered clouds
337,Geilo,NO,60.5333,8.2076,23.0,95,100,12.1,snow
338,Prieska,ZA,-29.6641,22.7474,63.86,57,0,9.06,clear sky
339,Antsohihy,MG,-14.8796,47.9875,73.76,95,84,1.79,broken clouds
340,Manono,CD,-7.3,27.4167,67.39,91,61,2.28,broken clouds
341,Belfast,GB,54.5833,-5.9333,46.99,87,90,21.85,overcast clouds
342,Cairns,AU,-16.9167,145.7667,88.0,66,90,11.5,overcast clouds
343,Terrace Bay,CA,48.7834,-87.1,37.4,60,100,12.66,light rain
344,Maniitsoq,GL,65.4167,-52.9,17.78,93,94,9.86,overcast clouds
345,Dalbandin,PK,28.8947,64.4101,58.75,62,0,2.39,clear sky
346,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,100,90,10.27,light intensity drizzle
